bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
SP Natsuo, U       28| 118/118     119/118  15/ 24 | 146 (133) |          |  - | SP,P          |     $1.84M a |  $8.91M |    p1640 | Boston Red Sox       | **^
MR Williams, D     26| 101/108     119/115  13/ 29 | 143 (130) |          |    | MR,P          |      $500k r |  $7.81M |    p1807 | Boston Red Sox       | **^
CF Lind, T         28| 113/113     107/114  20/ 19 | 139 (126) | -3---889 |  + | CF,OF,H       |     $3.21M a | $11.66M |     p708 | Boston Red Sox       | ***
SP Owens, H        33| 115/116     116/115  12/ 22 | 139 (126) |          |  + | SP,P          | F     $20M   |  $7.26M |    p4040 | Boston Red Sox       | **^
MR Clinard, W      36| 116/108     131/135  31/ 29 | 137 (125) |          |  - | MR,P          |        $9Mx3 |  $17.7M | CL p4588 | Boston Red Sox       | ****
SS Cecchini, G     34| 112/111     103/113  19/ 19 | 130 (118) | -9695--2 | -+ | SS,IF,OF,H    |       $16Mx2 | $11.11M | 3B p3556 | Boston Red Sox       | ***
SS Gordon, N       26| 101/106      94/103   8/ 14 | 127 (116) | -8878--- |  + | SS,IF,H       |      $500k r |  $5.07M |     p462 | Boston Red Sox       | **^
SP Lee, Z          34| 111/110     122/106   8/ 16 | 126 (115) |          |  + | SP,P          |        $4Mx2 |  $5.07M |     p743 | Boston Red Sox       | **
SS Bogaerts, X     33| 107/107     106/107  14/ 15 | 123 (112) | -4999--- |  + | SS,IF,H       |       $21Mx2 |  $8.36M |    p3601 | Boston Red Sox       | ***
CF Choice, M       36| 111/102     118/110  18/  8 | 121 (110) | -1---543 |  + | CF,OF,H       | F  $17.25M   | $10.56M |       p2 | Boston Red Sox       | ***
 C Torres, L       31|  99/ 99      98/ 99  20/ 20 | 120 (109) | 6------- |  - | C,H           |        $8Mx3 | $11.66M |     p844 | Boston Red Sox       | **^
SP Sands, C        24|  91/103      89/ 92 -12/  9 | 119 (108) |          | -+ | SP,P          |  1   $500k r |         |    p1683 | Boston Red Sox       | +++++
RF Belt, B         37| 113/ 97     110/114  20/  3 | 118 (107) | -8---6-6 |  + | OF,H          |       $18Mx2 | $11.66M | 1B p3270 | Boston Red Sox       | **^
CF Verduzco, P     25|  95/101      84/ 98   2/  7 | 115 (105) | -2---777 |  + | CF,OF,H       |  2           |  $1.77M |     p866 | Boston Red Sox       | +++++
2B Betts, M        33| 104/104     104/104  11/ 12 | 115 (105) | -35----- |  - | IF,H          |       $15Mx2 |  $6.71M |    p4563 | Boston Red Sox       | ***^
CF Rockett, D      33| 104/104     107/103  11/ 10 | 115 (105) | -3---89T |    | CF,OF,H       |       $10Mx3 |  $6.71M |      p57 | Boston Red Sox       | ***
RF Byrd, J         32| 101/101     103/100   8/  7 | 111 (101) | -2-----2 |  + | OF,H          |      $3.4Mx2 |  $5.07M | 1B  p337 | Boston Red Sox       | **^
MR Williams, R     32|  96/ 96     110/111   7/ 15 | 111 (101) |          |  - | MR,P          |        $8Mx3 |  $4.52M |     p125 | Boston Red Sox       | ***
SP Swensen, L      26|  86/ 98      87/ 86 -17/  4 | 108 ( 98) |          |    | SP,P          |              |         |    p2150 | Boston Red Sox       | **^
CF Castleberry, P  24|  77/ 94/ 93  81/ 76 -16/ -1 | 101 ( 92) | -2---753 |  + | CF,OF,H       |  3           |         | LF p1702 | Boston Red Sox       | ++++
CF Heinen, B       22|  76/ 92      69/ 77 -17/ -2 | 100 ( 91) | -2---376 |  - | CF,OF,H       |  8           |         |     p414 | Boston Red Sox       | +++-
1B Deleon, M       18|  70/ 85      74/ 69 -23/ -9 |  99 ( 90) | -2------ |  + | H             |  T           |         |    p2564 | Boston Red Sox       | +++
CF Barstow, A      18|  61/ 87/ 85  59/ 62 -32/ -9 |  98 ( 89) | -2---555 | -+ | CF,OF,H       |              |         | LF p1267 | Boston Red Sox       | ++-
RF Plante, P       19|  71/ 84      77/ 70 -22/-10 |  97 ( 88) | -2---2-5 |  + | OF,H          |              |         |     p561 | Boston Red Sox       | +++
MR Cobo, R         29|  87/ 87     101/100  -2/  5 |  96 ( 87) |          |    | MR,P          |      $500k r |         |    p1564 | Boston Red Sox       | **^
3B Gwynn, J        19|  74/ 83      79/ 73 -19/ -9 |  95 ( 86) | -766---- | +- | IF,H          |              |         | 1B  p936 | Boston Red Sox       | ++-
LF Diz, O          20|  58/ 87/ 84  54/ 59 -35/-10 |  95 ( 86) | -2---5-- |    | OF,H          |  9           |         |     p608 | Boston Red Sox       | +++
SP Houghtaling, W  22|  71/ 84      68/ 72 -32/-10 |  95 ( 86) |          | ++ | SP,P          |  4           |         |    p2104 | Boston Red Sox       | ++++
SS Clarkson, N     17|  66/ 78      66/ 66 -27/-14 |  93 ( 85) | -3--7--- |  + | SS,IF,H       |              |         |    p1093 | Boston Red Sox       | ++-
 C Javier, A       17|  58/ 81/ 79  58/ 58 -21/  0 |  92 ( 84) | 4------- |  - | C,H           |              |         |    p1532 | Boston Red Sox       | +-
SS Bolton, B       19|  67/ 83/ 82  73/ 66 -26/-10 |  92 ( 84) | -3666--- | -- | SS,IF,H       |              |         |     p318 | Boston Red Sox       | +++
CF Steiner, C      22|  66/ 85/ 84  62/ 67 -27/-10 |  92 ( 84) | -2---282 |  - | CF,OF,H       |  7           |         |    p2970 | Boston Red Sox       | +++-
SP Villar, H       25|  76/ 85      80/ 74 -27/ -9 |  92 ( 84) |          | +  | SP,P          |              |         |     p312 | Boston Red Sox       | ++-
SP Maravilla, E    23|  76/ 83      74/ 77 -27/-11 |  91 ( 83) |          | -+ | SP,P          |  6           |         |    p3282 | Boston Red Sox       | +++-
SS Jackson, J      21|  55/ 80/ 78  55/ 55 -38/-14 |  88 ( 80) | -35-5--- | -+ | SS,IF,H       |              |         |    p2642 | Boston Red Sox       | ++
 C Rosario, W      37|  91/ 75      94/ 90  12/ -4 |  88 ( 80) | 72------ |  + | C,H           | F      $3M   |  $7.26M |    p1957 | Boston Red Sox       | **^
1B Longstreet, V   20|  55/ 75/ 74  58/ 55 -38/-20 |  87 ( 79) | -6------ | ++ | H             |              |         |    p1035 | Boston Red Sox       | ++
SS Montgomery, G   23|  71/ 80      64/ 72 -22/-12 |  87 ( 79) | -8765--- |  - | SS,IF,H       | F            |         |     p647 | Boston Red Sox       | ++
2B Tavarez, G      21|  63/ 78/ 77  65/ 62 -30/-15 |  86 ( 78) | -27----- |  - | IF,H          |              |         |     p766 | Boston Red Sox       | ++
2B Wieland, R      25|  73/ 80      68/ 74 -20/-12 |  86 ( 78) | -35----- |    | IF,H          |              |         | SS p2733 | Boston Red Sox       | +
1B Disanto, G      19|  58/ 73/ 72  58/ 58 -35/-22 |  85 ( 77) | -4------ |  + | H             |              |         |     p912 | Boston Red Sox       | +-
SP Barreras, J     21|  70/ 74      63/ 74 -33/-20 |  85 ( 77) |          | +  | SP,P          |              |         |    p1503 | Boston Red Sox       | +
2B Cooper, D       22|  64/ 77      67/ 64 -29/-15 |  85 ( 77) | -25----- |  - | IF,H          |              |         |    p2156 | Boston Red Sox       | +
3B Bollman, L      25|  71/ 80      76/ 70 -22/-12 |  85 ( 77) | -3-5---- |  - | IF,H          |              |         |     p184 | Boston Red Sox       | ++
RF Padua, A        26|  80/ 81      71/ 82 -13/-13 |  85 ( 77) | -4---5-5 | -- | OF,H          |              |         |     p427 | Boston Red Sox       | *
RF Huntsberry, R   20|  61/ 72      55/ 62 -32/-22 |  84 ( 76) | -1-----3 |  + | OF,H          |              |         |    p1447 | Boston Red Sox       | +
SP Poe, M          17|  45/ 72/ 68  42/ 47 -58/-26 |  83 ( 76) |          |  + | SP,P          |              |         |    p2843 | Boston Red Sox       | +++
SP Dolph, C        21|  68/ 73      67/ 69 -35/-21 |  83 ( 76) |          |    | SP,P          |              |         |    p1959 | Boston Red Sox       | ++

**New York (A) ...** |     OVR      vL/vR   vRpl   |           |          | XC | 
CF Lashley, B      27| 121/121     115/122  28/ 27 | 156 (142) | -4---535 |  + | CF,OF,H       |     $3.36M a | $16.05M | 1B  p692 | New York (A) Yankees | ***^
CF Railey, M       26| 120/120     123/119  27/ 26 | 152 (138) | -7---778 | -  | CF,OF,H       |     $7.26M a |  $15.5M | RF p2747 | New York (A) Yankees | ****
MR Torres, J       31| 111/111     140/123  25/ 33 | 145 (132) |          |  - | MR,P          |        $6Mx3 |  $14.4M |     p192 | New York (A) Yankees | **^
SS Olivas, L       25| 112/113     116/111  19/ 21 | 139 (126) | -7565--- |  - | SS,IF,H       |      $500k a | $11.11M |    p1790 | New York (A) Yankees | ***
SP Rafael, O       26| 104/111     102/105   1/ 17 | 134 (122) |          | -+ | SP,P          |      $500k r |  $1.22M |     p151 | New York (A) Yankees | ****^
CF Hill, D         26| 109/111     116/108  16/ 17 | 133 (121) | -3---456 |  - | CF,OF,H       |     $2.74M a |  $9.46M |    p1989 | New York (A) Yankees | ***
MR Benero, O       30| 103/103     120/118  16/ 24 | 130 (118) |          | +- | MR,P          |     $2.07Mx2 |  $9.46M |     p174 | New York (A) Yankees | *^
CF Pederson, J     33| 111/111     104/113  18/ 17 | 130 (118) | -2---563 |  + | CF,OF,H       | F  $18.65M   | $10.56M |    p2014 | New York (A) Yankees | ***
 C Myers, W        35| 103/ 99      96/104  24/ 20 | 125 (114) | 23-----5 | ++ | C,OF,H        |    $13.11Mx2 | $13.85M | RF p3249 | New York (A) Yankees | **^
 C Champlin, J     25|  91/ 95      91/ 91  12/ 16 | 118 (107) | 74------ |  + | C,H           |  4           |  $7.26M |    p1706 | New York (A) Yankees | ++++-
SP Espinoza, A     21|  61/107/ 98  62/ 61 -42/  4 | 113 (103) |          |  + | SP,P          |  1           |         |    p2073 | New York (A) Yankees | +++++
CF Ozuna, M        35| 105/101     105/105  12/  7 | 113 (103) | -2---867 |    | CF,OF,H       |     $12.1Mx3 |  $7.26M |    p3496 | New York (A) Yankees | **^
SP McKinney, I     31| 101/101      94/105  -2/  7 | 111 (101) |          |  + | SP,P          | F    $1.5M   |         |    p4405 | New York (A) Yankees | *
MR Deck, K         30|  94/ 94     107/110   5/ 13 | 110 (100) |          | -+ | MR,P          | F      $3M   |  $3.42M |     p893 | New York (A) Yankees | **^
LF Morrison, L     38| 113/ 88     110/114  20/ -6 | 109 ( 99) | -7---6-- |  + | OF,H          | F  $13.51M   | $11.66M |    p3075 | New York (A) Yankees | ***^
MR Richardson, M   28|  91/ 91      96/110   2/ 10 | 105 ( 96) |          |  - | MR,P          |     $4.22Mx2 |  $1.77M |    p2984 | New York (A) Yankees | *
SP Withrow, C      37| 110/ 94     130/102   7/  0 | 102 ( 93) |          |  + | SP,P          | F     $33M   |  $4.52M |    p2146 | New York (A) Yankees | **^
SS Bickel, M       22|  69/ 91/ 90  60/ 70 -24/ -2 | 101 ( 92) | -3999--- | ++ | SS,IF,H       |  7           |         | 3B  p891 | New York (A) Yankees | +++-
 C Marino, W       22|  72/ 85      70/ 73  -7/  6 | 101 ( 92) | 5------- |  + | C,H           |              |         |     p856 | New York (A) Yankees | +-
SP Fernandez, S    27|  95/ 95      87/ 99  -8/  1 | 101 ( 92) |          |  - | SP,P          |              |         |    p1207 | New York (A) Yankees | *
SS Miller, B       36| 100/ 91     102/100   7/ -1 |  99 ( 90) | -3--7--- |  + | SS,IF,H       |     $3.24Mx2 |  $4.52M |    p3882 | New York (A) Yankees | **
 C Craner, N       23|  74/ 85      74/ 74  -5/  6 |  98 ( 89) | 5------- |  - | C,H           |              |         |    p3262 | New York (A) Yankees | ++
SP Teheran, J      35| 102/ 98     104/102  -1/  4 |  98 ( 89) |          |    | SP,P          |     $1.62Mx2 | $673.2k |    p2311 | New York (A) Yankees | **
CF Braatz, B       24|  71/ 90/ 89  66/ 72 -22/ -5 |  97 ( 88) | -2---878 |  + | CF,OF,H       |  2           |         | RF p2470 | New York (A) Yankees | +++++
SS Stamets, E      34|  95/ 94      95/ 95   2/  2 |  97 ( 88) | -35-75-- |  + | SS,IF,OF,H    |     $9.79Mx2 |  $1.77M |    p4597 | New York (A) Yankees | *^
 C Amaya, D        23|  64/ 84/ 83  63/ 64 -15/  4 |  96 ( 87) | 22---3-5 |  + | C,OF,H        |              |         | RF p3293 | New York (A) Yankees | ++
SP Gilbertson, S   29|  93/ 93      99/ 91 -10/ -1 |  96 ( 87) |          |    | SP,P          |              |         |    p1439 | New York (A) Yankees | **^
SP Cobian, C       18|  51/ 88/ 81  56/ 50 -52/-13 |  95 ( 86) |          |  + | SP,P          |  5           |         |     p396 | New York (A) Yankees | ++++
MR Shun'En, A      24|  79/ 85      87/ 94 -11/  3 |  95 ( 86) |          |    | MR,P          |              |         |     p850 | New York (A) Yankees | +++++
MR Hysell, E       26|  80/ 85      90/ 92 -10/  3 |  95 ( 86) |          |  + | MR,P          |              |         |     p719 | New York (A) Yankees | ***
3B Liggins, R      18|  65/ 82/ 81  71/ 64 -28/-11 |  94 ( 86) | -356---- |    | IF,H          |              |         |    p2704 | New York (A) Yankees | ++-
 C Burkhart, D     37|  95/ 79      84/ 98  16/  0 |  94 ( 86) | 8------- |  - | C,H           |     $2.09Mx2 |  $9.46M |    p3688 | New York (A) Yankees | **^
LF Cavallo, D      21|  78/ 82      81/ 78 -15/-12 |  93 ( 85) | -2---3-- |  + | OF,H          |              |         |     p314 | New York (A) Yankees | ++
SS Pompey, L       23|  74/ 85      74/ 74 -19/ -7 |  93 ( 85) | -8476--- | -+ | SS,IF,H       |              |         |    p1471 | New York (A) Yankees | ++-
SP Martin, J       24|  71/ 87/ 86  65/ 74 -32/ -8 |  93 ( 85) |          |    | SP,P          |  3           |         |     p784 | New York (A) Yankees | +++++
SS Lessman, L      17|  56/ 79/ 77  61/ 55 -37/-15 |  92 ( 84) | -3--5--- |  + | SS,IF,H       |              |         |    p3042 | New York (A) Yankees | +-
1B Colome, D       19|  53/ 83/ 79  54/ 53 -40/-15 |  92 ( 84) | -3------ |  + | H             |              |         |    p2144 | New York (A) Yankees | +++
2B Clarkson, J     21|  62/ 84/ 82  67/ 61 -31/-10 |  92 ( 84) | -36----- |    | IF,H          |  9           |         |      p50 | New York (A) Yankees | +++
3B Olt, M          37| 100/ 84     102/ 99   7/ -8 |  92 ( 84) | -9-8---5 |  + | IF,OF,H       | F   $3.81M   |  $4.52M |    p2310 | New York (A) Yankees | **
 C Jelks, L        17|  62/ 77/ 76  63/ 62 -17/ -3 |  91 ( 83) | 5------- |  + | C,H           |              |         |     p820 | New York (A) Yankees | +
LF Pedrosa, O      19|  57/ 83/ 80  51/ 58 -36/-14 |  91 ( 83) | -2---5-2 | -  | OF,H          |              |         |    p2218 | New York (A) Yankees | ++
CF Danford, R      23|  70/ 82      69/ 70 -23/-12 |  91 ( 83) | -2---882 |  + | CF,OF,H       |  8           |         |    p1403 | New York (A) Yankees | +++
SS Wilkins, P      25|  73/ 84      74/ 72 -20/ -8 |  91 ( 83) | -3--6--- |  + | SS,IF,H       |              |         |    p2676 | New York (A) Yankees | ++-
MR Barrett, J      34|  88/ 87     100/103  -1/  5 |  91 ( 83) |          | -+ | MR,P          | F   $3.26M   | $673.2k |    p4270 | New York (A) Yankees | *
SS Rouleau, G      21|  75/ 79      80/ 73 -18/-13 |  89 ( 81) | -3666--- |    | SS,IF,H       |              |         | 3B p3472 | New York (A) Yankees | ++
SS Valdes, C       21|  62/ 78/ 77  62/ 62 -31/-15 |  89 ( 81) | -3--6--- | ++ | SS,IF,H       |              |         |    p2151 | New York (A) Yankees | ++
SP Baca, C         26|  81/ 83      81/ 80 -22/-11 |  89 ( 81) |          |    | SP,P          |              |         |      p42 | New York (A) Yankees | **^
SP Hirokichi, B    19|  58/ 76/ 75  54/ 60 -45/-19 |  88 ( 80) |          |  + | SP,P          |              |         |    p3318 | New York (A) Yankees | +++
SP Delmonte, N     34|  92/ 91      92/ 92 -11/ -3 |  88 ( 80) |          |  + | SP,P          |      $550k a |         |    p3059 | New York (A) Yankees | *
1B Morales, A      19|  57/ 75/ 74  51/ 58 -36/-20 |  87 ( 79) | -5------ |  + | H             |              |         |    p2669 | New York (A) Yankees | ++

**Tampa Bay Rays  ** |     OVR      vL/vR   vRpl   |           |          | XC | 
2B Poulos, W       21| 102/121     117/100   9/ 29 | 160 (146) | -497---- |    | IF,H          |  1           |  $5.62M |    p1359 | Tampa Bay Rays       | +++++
LF Gouveia, A      19|  86/123/120  90/ 85  -7/ 26 | 159 (145) | -2---8-2 |  + | OF,H          |  3           |         |    p1799 | Tampa Bay Rays       | +++++
3B Montoya, R      23| 111/118     113/110  18/ 26 | 154 (140) | -3-6---- | ++ | IF,H          |  2   $500k r | $10.56M |    p3321 | Tampa Bay Rays       | +++++
MR Machado, M      31| 112/112     129/129  26/ 34 | 148 (135) |          |    | MR,P          |       $10Mx2 | $14.95M | CL p1050 | Tampa Bay Rays       | ****
SP Sanchez, A      33| 108/108     119/103   5/ 14 | 123 (112) |          |  + | SP,P          |      $2.4Mx3 |  $3.42M |    p3263 | Tampa Bay Rays       | **^
RF Sanchez, F      29| 103/103      93/105  10/  9 | 117 (106) | -2---3-7 |    | OF,H          |      $500k a |  $6.16M |     p225 | Tampa Bay Rays       | *
 C Wallach, C      34|  98/ 97      99/ 98  19/ 18 | 117 (106) | 51------ |  + | C,H           | F     $15M   | $11.11M |    p4339 | Tampa Bay Rays       | ***
SP Wacha, M        34| 107/106      95/113   4/ 12 | 116 (106) |          |  - | SP,P          | F    $700k   |  $2.87M |    p4109 | Tampa Bay Rays       | *^
SS Gudino, Y       27|  97/ 97      98/ 97   4/  5 | 109 ( 99) | -5999--- |  + | SS,IF,H       |     $2.71M a |  $2.87M | 2B p1061 | Tampa Bay Rays       | ***
CF Boyd, B         32| 100/100      99/100   7/  6 | 108 ( 98) | -2---786 | +- | CF,OF,H       |        $1Mx2 |  $4.52M | LF p4190 | Tampa Bay Rays       | **^
CF Castellanos, N  34| 100/ 99     104/100   7/  5 | 107 ( 97) | -2---357 |  + | CF,OF,H       |        $5Mx2 |  $4.52M | RF p3599 | Tampa Bay Rays       | **^
SS Park, H         23|  80/ 95      82/ 80 -13/  3 | 105 ( 96) | -26-6--- |  - | SS,IF,H       |  5           |         | 2B  p814 | Tampa Bay Rays       | ++++
1B Villarreal, R   22|  76/ 94/ 93  82/ 75 -17/ -1 | 103 ( 94) | -3------ |  + | H             |  8           |         |     p211 | Tampa Bay Rays       | +++-
2B Sheffield, B    22|  73/ 94/ 93  74/ 73 -20/  1 | 102 ( 93) | -24----- |  - | IF,H          |              |         | SS  p637 | Tampa Bay Rays       | +++
RF Lamb, D         24|  78/ 96/ 95  72/ 79 -15/  1 | 102 ( 93) | -2---3-5 |  - | OF,H          |  T           |         |    p1284 | Tampa Bay Rays       | +++-
1B Plazas, R       24|  78/ 93      70/ 80 -15/ -1 | 101 ( 92) | -5------ |  + | H             |              |         |    p1104 | Tampa Bay Rays       | +++
SS Winn, P         19|  72/ 88/ 87  73/ 72 -21/ -5 | 100 ( 91) | -3877--- | +  | SS,IF,H       |              |         | 2B p1055 | Tampa Bay Rays       | +++
CF Mance, M        20|  62/ 89/ 87  56/ 64 -31/ -7 | 100 ( 91) | -2---256 | ++ | CF,OF,H       |              |         |    p1154 | Tampa Bay Rays       | ++
1B Rakes, D        25|  82/ 93      87/ 81 -11/ -1 | 100 ( 91) | -6------ |  + | H             |  6           |         |    p1469 | Tampa Bay Rays       | ++++
1B Altamirano, P   22|  63/ 94/ 91  60/ 63 -30/ -3 |  99 ( 90) | -3------ |  - | H             |  4           |         |    p2749 | Tampa Bay Rays       | +++++
RF Erickson, B     22|  72/ 87      63/ 73 -21/ -7 |  96 ( 87) | -2---2-4 |    | OF,H          |              |         |    p1094 | Tampa Bay Rays       | ++
SS Moya, S         34|  94/ 93      92/ 95   1/  1 |  96 ( 87) | -3-464-4 | ++ | SS,IF,OF,H    | F     $10M   |  $1.22M |    p4586 | Tampa Bay Rays       | **
1B Velasquez, A    18|  64/ 82/ 81  57/ 66 -29/-13 |  95 ( 86) | -5------ |  + | H             |              |         |    p3467 | Tampa Bay Rays       | ++-
 C Draper, R       20|  66/ 82/ 81  67/ 65 -13/  2 |  95 ( 86) | 41------ |  + | C,H           |              |         |     p942 | Tampa Bay Rays       | ++-
1B Kotter, R       24|  78/ 89      71/ 79 -15/ -5 |  95 ( 86) | -3------ |  - | H             |  9           |         |    p3269 | Tampa Bay Rays       | +++-
CF Gonzales, F     23|  68/ 86/ 85  72/ 67 -25/ -9 |  94 ( 86) | -2---378 |  + | CF,OF,H       |              |         |    p1476 | Tampa Bay Rays       | +++-
DH Tuller, J       25|  83/ 88      84/ 83 -10/ -6 |  94 ( 86) | -2------ | -+ | H             |      $500k r |         | SS p1143 | Tampa Bay Rays       | ++
SS Mondesi, Jr., R 30|  91/ 91      90/ 92  -2/ -1 |  94 ( 86) | -8798--- |  + | SS,IF,H       |        $5Mx2 |         | 3B p4592 | Tampa Bay Rays       | **^
MR Sale, C         37|  99/ 86     104/121  11/  4 |  94 ( 86) |          |    | MR,P          | F   $21.3M   |  $6.71M | SP  p879 | Tampa Bay Rays       | **^
SS Sevilla, R      21|  70/ 81      65/ 72 -23/-11 |  92 ( 84) | -3557--- |  + | SS,IF,H       |              |         |     p441 | Tampa Bay Rays       | ++-
 C Beehler, B      25|  78/ 83      78/ 78  -1/  4 |  92 ( 84) | 52------ |  - | C,H           |              | $673.2k |    p3151 | Tampa Bay Rays       | ++-
3B Jones, A        26|  79/ 85      80/ 79 -14/ -7 |  92 ( 84) | -346---- |  + | IF,H          | F            |         |    p1250 | Tampa Bay Rays       | *
SS Rheaume, C      22|  62/ 84/ 82  63/ 62 -31/-10 |  91 ( 83) | -3788--- |    | SS,IF,H       |              |         | 3B p2280 | Tampa Bay Rays       | +++
LF Clark, J        23|  72/ 81      66/ 74 -21/-13 |  90 ( 82) | -2---4-4 |  + | OF,H          | F            |         |     p860 | Tampa Bay Rays       | +-
MR Hernandez, A    25|  80/ 83     104/ 88 -10/  0 |  90 ( 82) |          |  + | MR,P          |      $500k r |         |    p1358 | Tampa Bay Rays       | ++++-
SP Garcia, H       18|  47/ 81/ 75  45/ 48 -56/-19 |  89 ( 81) |          |  + | SP,P          |              |         |      p55 | Tampa Bay Rays       | +++
RF Tookes, A       22|  64/ 82/ 81  56/ 66 -29/-13 |  89 ( 81) | -2---3-6 |  - | OF,H          |              |         |    p2771 | Tampa Bay Rays       | ++
CF Hernandez, E    31|  89/ 89      94/ 89  -4/ -3 |  89 ( 81) | -3-4-999 |  + | CF,OF,IF,H    |     $2.26M a |         |    p4671 | Tampa Bay Rays       | **^
DH Aviles, A       19|  56/ 77/ 75  53/ 57 -37/-19 |  88 ( 80) | -2------ |  + | H             |              |         | 2B p2307 | Tampa Bay Rays       | +-
3B Inejiro, R      20|  58/ 77/ 76  62/ 58 -35/-16 |  88 ( 80) | -8-8---- | +  | IF,H          |              |         |    p1651 | Tampa Bay Rays       | ++-
DH Quinto, E       20|  64/ 76      69/ 63 -29/-18 |  88 ( 80) | -2------ |  + | H             |              |         | 2B p1334 | Tampa Bay Rays       | +
 C Billiot, C      21|  66/ 77      68/ 65 -13/ -2 |  88 ( 80) | 4------- |  + | C,H           |              |         |      p92 | Tampa Bay Rays       | +
MR Olivarria, J    22|  56/ 82/ 79  74/ 61 -36/ -3 |  88 ( 80) |          |    | MR,P          |  7           |         | SP  p150 | Tampa Bay Rays       | ++++
SP Curbelo, A      32|  90/ 90      77/ 98 -13/ -4 |  88 ( 80) |          |  + | SP,P          |      $550k a |         |     p426 | Tampa Bay Rays       | *
SP Mayle, M        25|  75/ 82      74/ 75 -28/-12 |  87 ( 79) |          |  - | SP,P          |              |         |     p147 | Tampa Bay Rays       | ++-
SP Robinson, R     26|  74/ 81      68/ 77 -29/-13 |  87 ( 79) |          | +- | SP,P          | F            |         |     p164 | Tampa Bay Rays       | *
 C Ferri, E        23|  57/ 81/ 79  56/ 57 -22/  0 |  86 ( 78) | 72------ |  - | C,H           |              |         |    p1796 | Tampa Bay Rays       | +++
SP Wilkerson, D    23|  66/ 79      65/ 66 -37/-15 |  86 ( 78) |          |  - | SP,P          |              |         |     p687 | Tampa Bay Rays       | ++
1B Perez, P        22|  75/ 76      69/ 76 -18/-18 |  85 ( 77) | -3------ |    | H             |              |         |    p2808 | Tampa Bay Rays       | +
2B Martinez, L     23|  71/ 76      74/ 70 -22/-16 |  85 ( 77) | -25----- |  + | IF,H          |              |         |    p1409 | Tampa Bay Rays       | ++

**Toronto Blue ...** |     OVR      vL/vR   vRpl   |           |          | XC | 
SS Barreto, P      30| 114/114     118/113  21/ 22 | 140 (127) | -3766--- |  + | SS,IF,H       |     $2.29M a | $12.21M | 2B  p871 | Toronto Blue Jays    | ***^
SP Botella, G      30| 115/115     110/117  12/ 21 | 140 (127) |          |  + | SP,P          |     $5.62M a |  $7.26M |     p867 | Toronto Blue Jays    | ***
SP Rodon, C        28| 112/112     111/112   9/ 18 | 137 (125) |          | ++ | SP,P          |    $871.4k a |  $5.62M |    p2668 | Toronto Blue Jays    | **
SP Simms, A        29| 112/112     110/113   9/ 18 | 133 (121) |          |  - | SP,P          |     $1.29M a |  $5.62M |    p1800 | Toronto Blue Jays    | **
MR Pouliot, B      24| 102/102     113/120  14/ 22 | 130 (118) |          |  - | MR,P          |              |  $8.36M |    p1248 | Toronto Blue Jays    | +++++
SS Farwell, R      27| 108/107      98/109  15/ 15 | 130 (118) | -8776-3- |  + | SS,CF,IF,OF,H |     $2.75M a |  $8.91M | CF p2429 | Toronto Blue Jays    | **^
MR Curtis, J       24|  88/ 99     115/ 97  -1/ 19 | 126 (115) |          |  + | MR,P          |              | $673.2k |      p12 | Toronto Blue Jays    | +++++
SP Gomez, J        30| 108/108     104/110   5/ 14 | 126 (115) |          |  + | SP,P          |        $4Mx2 |  $3.42M |    p1379 | Toronto Blue Jays    | *^
1B Escalona, O     21|  96/105      76/100   3/ 11 | 125 (114) | -3------ |  - | H             |  4           |  $2.32M |    p3232 | Toronto Blue Jays    | ++++-
SS Hernandez, K    24|  89/105      78/ 91  -4/ 13 | 123 (112) | -3-97--- | -- | SS,IF,H       |  1           |         |    p1983 | Toronto Blue Jays    | +++++
SS Cremeans, C     23|  84/103/102  94/ 82  -9/ 10 | 121 (110) | -3-56--- |  + | SS,IF,H       |  2           |         |    p3406 | Toronto Blue Jays    | +++++
3B Austria, D      25|  96/101     101/ 95   3/  9 | 117 (106) | -3-6---- |  + | IF,H          |  9           |  $2.32M |     p732 | Toronto Blue Jays    | +++-
SP Perera, H       25| 100/103     102/ 99  -3/  9 | 117 (106) |          |  - | SP,P          |  3           |         |    p1520 | Toronto Blue Jays    | +++++
CF Liriano, R      34| 105/104     106/105  12/ 10 | 117 (106) | -2---687 |  + | CF,OF,H       |       $12Mx4 |  $7.26M | RF p3071 | Toronto Blue Jays    | **^
MR Lefevre, M      26|  86/ 93      93/102  -3/ 12 | 111 (101) |          |    | MR,P          |              |         | CL  p948 | Toronto Blue Jays    | ***^
 C Swanner, W      34|  94/ 93      93/ 94  15/ 14 | 109 ( 99) | 51------ |  + | C,H           |      $1.9M a |  $8.91M |     p624 | Toronto Blue Jays    | **^
SP Williams, W     26|  97/ 97      98/ 96  -6/  3 | 108 ( 98) |          | ++ | SP,P          |      $500k r |         |    p2991 | Toronto Blue Jays    | *^
